id,name,citizenship,city,latitude,longitude,gender,age,english,mathematics,sciences,proficiency,portfolio,cover,reference
0,Kiana Lor,China,Suzhou,31.31,120.62,F,22,3.5,3.7,3.1,1,4,4,4
1,Joshua Lonaker,United States of America,Santa Clarita,34.39,-118.54,M,22,2.9,3.2,3.6,5,5,4,5
2,Dakota Blanco,United States of America,Oakland,37.8,-122.27,F,22,3.9,3.8,3.2,5,3,3,4
3,Natasha Yarusso,United States of America,Castro Valley,37.69,-122.09,F,20,3.3,2.8,3.2,5,5,2,4
4,Brooke Cazares,Brazil,São José dos Campos,-23.18,-45.88,F,21,3.7,2.6,3.4,1,4,4,5
5,Rochelle Johnson,United States of America,Indianapolis,39.77,-86.16,F,21,3.4,3.1,3.7,5,2,4,4
6,Joey Abreu,China,Shenyang,41.79,123.43,M,22,3.5,3.9,3.6,2,5,5,5
7,Preston Suarez,Brazil,São Paulo,-23.47,-46.67,M,22,3.8,3.7,3.6,2,5,5,4
8,Lee Dong,Philippines,Manila,14.6,120.98,F,24,3.9,3.6,3.2,2,4,3,5
9,Maa'iz al-Dia,Turkey,Istanbul,41.02,28.96,M,22,2.4,2.8,3.8,3,5,5,4
10,Maja Nicholson,United States of America,Dallas,32.78,-96.8,F,23,3.4,3.5,3.2,5,4,2,5
11,Sasha Jansen,United States of America,Chicago,41.85,-87.65,F,21,1.7,4,3.6,5,4,4,5
12,Alexander Sherman,United States of America,Omaha,41.26,-95.94,M,20,3.8,3.6,3.9,5,4,4,5
13,Edgar Sanchez,Mexico,Tijuana,32.53,-117.02,M,23,3.7,3.5,4,4,4,5,5
14,Kolbi Strunk,United States of America,Mission Viejo,33.6,-117.67,M,21,3.2,3.9,3.3,5,4,3,4
15,Brittany Sath,Japan,Tokyo,35.69,139.75,F,21,4,3.9,3.7,3,5,3,5
16,Meggan Smith,United States of America,Los Angeles,34.05,-118.24,F,21,2.9,3.4,3.6,5,2,5,4
